,Mādhavānanda,Kosambi
,"https://archive.org/details/VairagyasatakamOfBhartrhari 
http://www.vivekananda.net/PDFBooks/VairagyaShatakam.pdf",
1,"	चूडोत्तंसित­चन्द्र्रचारुकलिकाचञ्चच्छिखा­भास्वरो
लीलादग्धविलोलकामशलभ: श्रेयोदशाग्रे स्फुरन् ।
	अन्त:स्फूर्जदपारमोहतिमिर­प्राग्भारमुच्चाटयन्-
श्चेत:सद्मनि योगिनां विजयते ज्ञानप्रदीपो हर: ।।१।।

1. All glory to Śiva, the Light of Knowledge, residing in the temple of the yogīs’ heart, who smites away (like the rising sun) the massive front of the endless night of ignorance overcasting human minds, in whose wake follow all auspiciousness and prosperity, who burnt up gay lust as a moth, as if in sport, and who appears beaming with the lambent rays of the crescent adorning his forehead—rays that look pleasing like soft half-blooming buds!
[चूडोत्तंसित—made an ornament for the head. चारुकलिका­चञ्चच्छिखा—lambent beams like beautiful half-blooming buds. लीलादग्ध—burnt up at ease or in sport. श्रेयोदशाग्रे—in front of all circum­stances of prosperity. स्फुरन्—appearing. अन्त:स्फूर्जत्—spread­ing forth in the heart. प्राग्भारं—heavy mass at the front.
As is customary with Sanskrit poets, this opening verse is dedicatory (to Śiva in this instance), as forming an auspicious introduction.]",1
2,"भ्रान्तं देशमनेकदुर्गविषमं प्राप्तं न किञ्चित् फलम्
        त्यक्त्वा जातिकुलाभिमानमुचितं सेवा कृता निष्फला ।
भुक्तं मानविवजिर्तं परगृहेष्वाशङ्कया काकव-
        त्तृृष्णे जृम्भसि पापकर्मपिशुने नाद्यापि सन्तुष्यसि ।।२।।

2. Many are the inaccessible and perilous places I have travelled and yet obtained no riches; sacrificing proper dignity of birth and social position, in vain have I served the rich; like the crows have I fed myself, devoid of self-respect, at the house of others in the expectation of gain; and yet, oh! Desire, thou prompter of evil deeds, thou art waxing lustier and art not still satisfied.
[अनेकदुर्गविषमं—rendered difficult of access by various obsta­cles. फलं—result (but here), wealth. आशङ्कया—hankering (after gain). पापकर्मपिशुने—indicative of evil deeds.]",148
3,"उत्खातं निधिशङ्कया क्षितितलं ध्माता गिरेर्धातवो
        निस्तीर्ण: सरितां पतिर्नृपतयो यत्नेन संतोषिता: ।
मन्त्राराधनतत्परेण मनसा नीता: श्मशाने निशा:
        प्राप्त: काणवराटकोऽपि न मया तृष्णे सकामा भव ।।३।।
3. The earth have I digged into in quest of precious minerals, and metals from rocks have I smelted; the ocean have I crossed, and the favour of kings have I diligently sought; nights have I spent on burning grounds with my mind occupied with mantras and worship; (1) and not even a broken cowrie have I obtained; be satisfied, therefore, oh Desire!

[1] This forms a part of the mysterious rites to be gone through by those who invoke supernatural agencies for obtaining riches.",149
4,"खलालापा: सोढा: कथमपि तदाराधनपरै-
	निर्गृह्यान्तर्बाष्पं हसितमपि शून्येन मनसा ।
कृतो वित्तस्तम्भ­प्रतिहतधियामञ्जलिरपि
त्वमाशे मोघाशे किमपरमतो नर्तयसि माम् ।।४।।
4. In our servile attendance on the (wealthy) wicked, their shabby manners and talk we have somehow put up with; suppressing tears that welled up from our hearts, we have smiled out of vacant minds; obeisance we have made to dullards stultified by too much wealth; in what more fooleries wouldst thou have me dance, oh Desire, thou of ungratified yearning!
[वित्तस्तम्भप्रतिहतधियाम्—those rendered dull in intellect by in­ac­tivity due to too much wealth. मोघाशे—with hopes thwarted. Another reading is चित्तस्तम्भ: as a separate word. The meaning then would be: ‘We have restrained our feelings and made obeisance,’ etc.]",150
5,"अमीषां प्राणानां तुलितबिसिनीपत्रपयसां
        कृते किं नास्माभिविर्गलित­विवेकैर्व्यवसितम् ।
यदाढ्यानामग्रे द्रविणमदनि:संज्ञमनसां
        कृतं वीतव्रीडैनिर्जगुणकथा­पातकमपि ।।५।।
5. What have we not endeavoured to do, with our depraved conscience, for the sake of our prāṇas (five vital forces) which are unreliable and compared to water on the leaves of a lotus, since in the presence of the rich, with their minds stupefied by the pride of wealth, we have shamelessly committed the sin of recounting our own merits!
[According to the scriptures, self-glorification is tanta­mount even to the sin of suicide.]",168
6,"क्षान्तं न क्षमया गृहोचितसुखं त्यक्तं न संतोषत:
        सोढा दु:सहशीतवाततपनक्लेशा न तप्तं तप: ।
ध्यातं वित्तमहनिर्शं नियमितप्राणैर्न शंभो: पदं
        तत्तत्कर्म कृतं यदेव मुनिभिस्तैस्तै: फलैर्वञ्चिता: ।।६।।
6. We have forgiven, but not out of forgiveness (but out of our incapacity to right our wrongs); we have renounced the comforts of home life, but not out of contentment after satisfaction (but as an exile from home in quest of riches); though we have suffered inclemencies of weather, cold and heat so difficult to bear, still it is not religious austerities that we have undergone; with subdued vital forces, night and day have we brooded on money and not on the feet of Śiva; thus we have performed those very acts which the munis (saintly recluses) do perform, but of their good effects we have deprived ourselves.",236
7,"भोगा न भुक्ता वयमेव भुक्ता-
        स्तपो न तप्तं वयमेव तप्ता: ।
कालो न यातो वयमेव याता-
        स्तृष्णा न जीर्णा वयमेव जीर्णा: ।।७।।
7. Worldly pleasures have not been enjoyed by us, but we ourselves have been devoured; no religious austerities have been performed, but we ourselves have become scorched; time is not gone (being ever present and infinite), but we ourselves are gone (because of approaching death). Desire is not reduced in force, though we ourselves are reduced to senility.
[Here there is an ironical pun on the participles भुक्ता: and तप्ता:, the former being used both in the sense of ‘enjoyed’ and ‘eaten up’, and the latter both in the sense of ‘(austerities) performed’ and ‘heated’. Similarly the participle जीर्णा: means both ‘reduced in force’ and ‘stricken down with age’. The effect, of course, cannot be preserved in translation.]",155
8,"वलीभिर्मुखमाक्रान्तं पलितेनाङ्कितं शिर: ।
गात्राणि शिथिलायन्ते तृष्णैका तरुणायते ।।८।।
8. The face has been attacked with wrinkles, the head has been painted white with grey hair, the limbs are all enfeebled; but desire alone is rejuvenating.",156
9,"निवृत्ता भोगेच्छा पुरुषबहुमानोऽपि गलित:
        समाना: स्वर्याता: सपदि सुहृदो जीवितसमा: ।
शनैर्यष्ट्युत्थानं घनतिमिररुद्धे च नयने
        अहो मूढ: कायस्तदपि मरणापायचकित: ।।९।।
9. Though my compeers, dear to me as life, have all taken such a speedy flight to heaven (before being overtaken by old age); though the impulse for enjoyment is wearied out and the respect commanded from all persons lost; though my sight is obstructed by deep blindness (or cataract) and the body can raise itself but slowly on the staff; still, alas for its silliness, this body startles at the thought of dissolution by death!",153
