Comment,Gopinath-num,Gopinath1896-img,Gopinath1914-img,Kosambi
,1,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-070.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-064.jpg,256
,2,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-071.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-065.jpg,311
,3,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-072.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-066.jpg,8
,4,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-073.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-067.jpg,9
,5,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-074.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-068.jpg,319
,6,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-075.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-069.jpg,67
,7,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-076.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-070.jpg,68
,8,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-077.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-071.jpg,5
,9,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-078.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-072.jpg,30
,10,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-079.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-073.jpg,334
,11,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-080.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-074.jpg,759
,12,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-081.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-075.jpg,796
,13,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-082.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-076.jpg,697
,14,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-083.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-077.jpg,320
,15,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-084.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-078.jpg,13
,16,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-085.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-079.jpg,15
,17,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-086.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-080.jpg,16
,18,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-087.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-081.jpg,38
,19,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-088.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-082.jpg,76
,20,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-089.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-083.jpg,70
,21,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-090.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-084.jpg,237
,22,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-091.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-085.jpg,71
,23,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-092.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-086.jpg,42
,24,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-093.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-087.jpg,55
,25,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-094.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-088.jpg,807
