P.E.More,Kosambi,Comments
"https://archive.org/details/centuryofindian00bhar 
https://archive.org/details/centuryofindiane00bharuoft 
https://books.google.com/books?id=HKwaL9RfSNMC",,
"I

One walketh in Renunciation's way; 
Another fain would pay 
In Worldly Wisdom all his soul's large debt; 
And one in Pleasure's path 
With love still wandering on would all forget:—
Three roads the wide world hath.",K172?,
"II

In many a cavern on the wild hill-slopes 
That near to heaven climb,
By many a pool, dwell eremites with hopes
That laugh at measured time.

They lave in the cool Ganga where it flows
Over the level rocks;
They peer among the trees where Śiva goes
Tossing his matted locks;

They breathe in joy : but we — alas that fate 
Made woman's love so fair! 
For love restrains us in a world we hate, 
Cajoled by woman's snare.",K341?,
"III

Girls with the startled eyes of forest deer, 
And fluttering hands that drip 
With sandal-water; bathing-halls with clear 
Deep pools to float and dip;

The light moon blown across the shadowy hours,
Cool winds, and odorous flowers,
And the high terraced roof, — all things enhance
In Summer love's sweet trance.",K098,
"IV

This sodden air a needle scarce would prick; 
The wind dies in a gloom 
Of dripping leaves; and the low clouds with quick 
Reverberations boom.

Bewildered by heaven's fire I blindly grope
Through the chill Autumn storm,
To love's bright chamber, where one heart, I hope,
With summer still is warm.",,
"V

This Winter gale will play the gallant lover, 
And meeting careless girls 
Will pluck their gowns, and with rude fingers hover 
Among their tangled curls.

He'll kiss their eyelids too, their cheeks caress
Till they are all a-tremble;
He'll tease their lips till murmurs soft confess
The love they would dissemble.",K145,
"VI

’T is earth's Renewal : now the fluttering breeze,
Blown from the snowy hills
And filtered through the blooming mango trees,
The world with sweetness fills.

Now the mad bees are stung with brisk alarm;
And the wild cuckoos charm
The woods with singing, _Well! ah well! 't is well! 
We yield to Kāma's spell!_",K340,
"VII 

The silvery laughter; eyes that sparkle bold,
Or droop in virgin rue;
The prattling words of wonder uncontrolled 
When world and life are new;

The startled flight and dallying slow return,
And all their girlish sport; —
Ah me, that they time's ruinous truth must learn, 
Their flowering be so short!",,
"VIII 

Who hath escaped desire?
And thou, O King, — what profit in thy wealth
When Time with creeping stealth
Has quenched thy youth and covered o'er love's fire?

Nay, let us haunt the hall
Where loves forever call,
And girls with full-blown eyes like lotus flowers
Look laughing into ours,
Ere age and withering palsies blight us all.",,
"IX 

A flower whose fragrance none hath savored,
A singing bird no ear hath favored,
White pearl no jeweler hath bored, 
Untasted honey freshly stored
In a clean jar, unbroken fruit
That ripens now from virtue's root, —
Wondering I ask, O form unspotted,
To whose delight, sweet girl, thou art allotted ?",K203,
"X

My love within a forest walked alone, 
All in a moonlit dale; 
And here awhile she rested, weary grown,
And from her shoulders threw the wimpled veil
To court the little gale.

I peering through the thicket saw it all,
The yellow moonbeams fall,
I saw them mirrored from her bosom fly
Back to the moon on high.",K121,
"XI 

O fair Aśoka-tree, with love's own red
Thy boughs are all aflame;
Whither, I pray thee, hath my wanton fled? 
This way I know she came.

In vain thy nodding in the wind, thy sigh
Of ignorance assumed;
I know because my flower-love wandered by
For joy thy branches bloomed.

I know thee: ever with thy buds unblown,
Till touched by maiden's foot;
And thou so fair — one fairest maid alone
Hath trod upon thy root.",,
"XII 

Love's fruit in all the world is only this,
That two as one should think;
And they that disagree yet woo love's bliss,
Dead corpse with corpse would link.",K225,
"XIII 

Pluck the new - budding jasmine flower, and wreathe 
A garland for my brows;
Let saffron on my flesh and sandal breathe
Their perfume of carouse;
And then, O true love, lean upon my heart,
And all of heaven is there, or the best part.",,
"XIV 

Brightly the hearth-fire leap, and the lit lamp
Be burning clear and high ; 
Let sun or moon and starry hosts encamp 
With beacons in the sky : — 
Yet darkness in my heart and all is dark, 
Till I behold thine eyes and their love-spark.",K130,
"XV 

But to remember her my heart is sad, 
To see her is to know 
Bewildered thoughts, and touching driveth mad, 
How is she dear that worketh only woe?",K348,
"XVI 

A traveler pausing at the village well, 
His hollowed palms a cup, 
Bends down to drink, but caught as by a spell, 
With thirst unslaked looks up. 

And the fair keeper of the fountain stands,
Her girlish laughter stilled,
Nor careth from her urn into his hands
How thin a stream is spilled.",,
"XVII 

“Why, pretty fool, art thou so slender grown? 
Thou tremblest? and the prize 
Of all thy roses, whither is it flown?”

“My Lord, it meaneth nothing,” she replies, 
And smiles, — but when alone, 
Loosing the tears upgathered in her eyes,
Poor fool, she sighs and sighs.",,
"XVIII 

With one they laugh and chatter, yet beguile 
With luring eyes a second; 
A third they cherish in their heart the while, — 
Their true love who hath reckoned?",K247,
"XIX 

Now judge ye! — For a girl I walked forlorn
Who laughed my vows to scorn;
She loved another, who in coin repaid
Wooing a second maid.

And she, this second, making all complete,
Would worship at my feet. —
Four pretty fools and Kāma with his malice
Thus drove me from my palace.",K311,
"XX 

Harder than faces in a glass designed,
A woman's heart to bind ; 
Like mountain paths up cragged heights that twist, 
Her ways are lightly missed.

Like early dew-drops quivering on a leaf,
Her thoughts are idly brief;
And errors round her grow, as on a vine
The poison-tendrils twine.",K259,
"XXI 

The sportive Love-god in this worldly sea 
Angles continually; 
And women are his hook, their luring lips
The bait that bobs and dips.

We greedy fools, like silly nibbling fish,
Are landed with a swish;
And then, alack! to end the cruel game
Are broiled on love's quick flame.",K114,
"XXII 

O Wanderer Heart! avoid that haunted grove, 
The body of thy love;
Nor in her bosom stray, wild mountain fells
Where Love, the robber, dwells.",K104,
"XXIII 

Fair is her body as a lonely river
Whereon the moonbeams quiver;
About her waist three furrows in a row,
Like circling billows, go.

And there two swans their snowy plumage lave.
Soft riding on the wave;
There water-lilies nodding — 't is her brow,
A whiter flower. — O Thou

That shudderest in this sea of life to sink,
Beware that river-brink:
Lo, in the darkness, in the depths, there dwell
Monsters unnamable.",,
"XXIV 

In woman is the cause of shame, 
For woman burneth hatred's flame, 
Through woman in this body's snare 
The soul is mewed, — of woman, ah! beware.",,
"XXV 

Who reared this labyrinth of doubt, 
This leaguered town of reel and rout, 
This house of scandal? who hath sown 
These fields where noisome weeds spring up alone? 

This wizard's basket who hath stored
With all the conjurer's magic hoard
Of vain illusions ? — and the soul
But looking once forgets her blissful goal.

This barrier in the heavenly path,
This gateway to the pit of wrath,
Who made her then ? what hand perverse
Her moulded, man's inevitable curse?",,
"XXVI 

Communion with the good is friendship's root,
That dieth not until our death;
And on the boughs hang ever golden fruit : — 
And this is friendship, the world saith. 

Ourselves we doubt, our hearts we hardly know,
We lean for guidance on a friend;
Ay, on a righteous man we'd fain bestow
Our faith, and follow to the end.",,
"XXVII 

Like as the shadows of the twilight hour 
Differ from those at morn, 
So doth a good man's friendship in its power 
From that of evil born :— 
One small at first still stronger, deeper grows, 
One shortens to the close.",K062,
