n,Ryder,Kosambi
,https://shreevatsa.net/ryder/verses/verses.html,
,"From _Women's Eyes_ (1910), _Relatives_ (1919), and _Original Poems_ (1939).",
1,"
                The maid my true heart loves would not my true love be;
                She seeks another man; another maid loves he;
                And me another maid her own true love would see:
                Oh, fie on her and him and Love and HER and me!
            ",311
2,"
                WOMEN'S EYES

                The world is full of women's eyes,
                Defiant, filled with shy surprise,
                Demure, a little overfree,
                Or simply sparkling roguishly;
                It seems a gorgeous lily-bed,
                Whichever way I turn my head.
            ",89
3,"
                IF ONLY WE MIGHT DRESS IN AIR

                If only we might dress in air,
                  And eat what begging brings,
                And sleep outdoors, we should not care
                  For all the money-kings.
            ",210
4,"
                LOVE IS YOUNG

                The wrinkles on my face are all untold;
                  My hair is gray and thin;
                My limbs are sadly feeble grown, and old:
                  But love is young, and sin.
            ",156
5,"
                LOVE GROWS BY WHAT IT FEEDS ON

                When she is far, I only want to see her;
                  When she is seen, I only want to kiss her;
                When she is kissed, I never want to flee her;
                  I know that I could never bear to miss her.
            ",122
6,"
                GENTLE EYES

                Candle, and fire, and star,
                  Sun, moon, to give me light;
                But her dear, gentle eyes are far—
                  This world is night.
            ",130
7,"
                THE STUBBORN FOOL-I

                A diamond you may draw
                From an alligator's jaw;
              You may cross the raging ocean like a pool;
                A cobra you may wear
                Like a blossom in your hair;
              But you never can convince a stubborn fool.
            ",9
8,"
                THE STUBBORN FOOL-II

                With sufficient toil and travail
                You may gather oil from gravel;
              The mirage perhaps your thirsty lips may cool;
                If you seek it night and morn,
                You may find a rabbit's horn;
              But you never can convince a stubborn fool.
            ",319
9,"
                SEVEN ARROWS

                Seven arrows pierce my heart:
                The moonbeams that by day depart;
                The maid whose youthful beauty flies;
                The pool wherein the lotus dies;
                The handsome man whose lips are dumb
                The rich man, miserly and glum;
                The good man sunk in suffering;
                The rogue in favor with the king.
            ",10
10,"
                SUBSTITUTES

                What need of armor to the patient soul?
                What need of foes, if temper spurns control?
                If rogues are near, what need of snakes to harm you?
                If relatives, what need of fire to warm you?
                If friends, what need of magic draughts for health?
                If blameless scholarship, what need of wealth?
                If modesty, what need of gems and flowers?
                If poetry, what need of kingly powers?
            ",237
11,"
                SWEET AND BITTER

                Sweet are the moonbeams, sweet the grass-grown wood,
                Sweet is the peaceful converse of the good,
                The poet's song is sweet, the maiden's face
                When angry tear-drops lend a sudden grace:
                All would be sweet if human fate were fitter;
                The thought of death turns all the sweet to bitter.
            ",193
12,"
                WHEN I KNEW A LITTLE BIT

                When I knew a little bit,
                Then my silly, blinded wit,
                Mad as elephants in rut,
                Thought it was omniscient; but
                When I learned a little more
                From the scholar's hoarded store,
                Madness' fever soon grew cool,
                And I knew I was a fool.
            ",5
13,"
                WHOM DOES SHE LOVE?

                With one she gossips full of art;
                Her glances with a second flirt;
                She holds another in her heart:
                Whom does she love enough to hurt?
            ",247
16,"
                BETTER TO DWELL IN MOUNTAINS WILD

                Better to dwell in mountains wild
                  With beasts of prey
                Than in the palaces of gods
                  With fools to stay.
            ",320
17,"
                THE APRIL WIND

                The wind of April is a lover bold:
                He makes the women shiver hot and cold;
                He shuts their eyes, he rumples up their hair,
                And catches rudely at the gowns they wear;
                Time after time he presses pretty lips
                From which a cry indignant-joyful slips.
            ",145
18,"
                MY FOLLY'S DONE

                Why should that girl still use her keen,
                Coquettish eyes that steal the sheen
                From lotus-flowers. What can she mean?
              
                My folly's done. The fever-sting
                Of love's soft arrow does not cling;
                And yet she doesn't stop, poor thing!
            ",218
20,"
                REMEDIES

                A fire with water we defeat,
                With parasols the midday heat,
                Mad elephants with goads that prick,
                Oxen and asses with a stick,
                Sickness with draughts that banish harm,
                Poison with many a spell and charm,
                Science has cures for every ill
                Except the fool; be prospers still.
            ",759
21,"
                THE BEAUTIFUL AND THE GOOD

                You are a teacher of the youth
                Who master philosophic truth;
                I seek in the poetic art
                What charms and ravishes the heart.
                Yet we are honest and we see
                The only good is charity;
                And nothing charms us, fools or wise,
                Except a maid with lotus-eyes.
            ",287
22,"
                THE POWER OF MONEY

                His powers are still the same, his actions too,
                His mind is quite as keen, his speech as true;
                Yet he has undergone a wondrous change—
                He lost his money. Do you think it strange?
            ",512
23,"
                DESIRE IS YOUNG

                Not time, but we, have passed away;
                Not virtue, we ourselves grow cold;
                Not joys, but we, no longer stay:
                Desire is young, but we are old.",155
24,"  THOU ART A FLOWER

  Thou art a flower whose fragrance none has tasted,
    A gem uncut by workman's tool,
  A branch no desecrating hands have wasted,
    A virgin forest, sweetly cool.

  No man on earth deserves to taste thy beauty,
    Thy blameless loveliness and worth,
  Unless he has fulfilled man's perfect duty—
  And is there such a one on earth?",203
