Telang,,Kosambi,Tawney
000~H,॥ अथ नीतिशतकम् ॥,,HUNDRED STANZAS ON ETHICS AND POLITICS
N001,दिक्कालाद्यनवच्छिन्नानन्तचिन्मात्रमूर्तये,256,"  Eternal, Holy Spirit, free from bonds of space and time,
  Whose essence is self-knowledge, Thee I call to bless my rhyme."
,,,On Fools
N002,यां चिन्तयामि,311,"  She whom I worship night and day, she loathes my very sight,
  And on my neighbour dotes, who in another takes delight;
  A third she in my humble self nothing but good can see:
  Now out upon the god of love, and him, and them, and me!"
N003,अज्ञः सुखमाराध्यः,8,"  Easy is a fool to manage, easier still a man of sense,
  Brahma's self is foiled by one of little brains and great pretence."
N004,प्रसह्य मणिमुद्धरेन्,9,"  Snatch a jewel, if it please you, from the tiger's ravening throat;
  Cross the ocean, though its billows toss in foamwreaths round your boat;
  Fearless twine an angry cobra like a garland round your head;
  But with fools forbear to argue,—better strive to wake the dead."
N005,लभेत सिकतासु,319,"  If you squeeze with might and main,
  Oil from sand you may obtain;
  If with parching thirst you burn,
  Some mirage may serve your turn;
  If you wander far and wide,
  Rabbits' horns may grace your side;
  But you'll never—trust my rule—
  Please a headstrong, bumptious fool."
N006,व्यालं बालमृणालतन्तुभिरसौ,67,"  As well attempt to pierce with flowers the diamond of the mine,
  As well attempt with honey-drops to sweeten ocean's brine,
  As well go bind with lotus-bands the lord of forest herds,
  As strive to lead in wisdom's ways the bad with sugared words."
N007,स्वायत्तमेकान्तहितं,68,"  When the Creator made the dolt,
  He left him not without his bolt;
  That fool shows best the wise among
  Who strokes his beard and holds his tongue."
N008,यदा किंचिज्ज्ञोऽहं,5,"  When but a little I had learned, in my own partial eyes
  I seemed a perfect Solon and immeasurably wise;
  But when a little higher I had climbed in wisdom's school,
  The fever-fit was over and I knew myself a fool."
N009,कृमिकुलचितं लालाक्लिन्नं,30,"  See that _pariah_ making off there with a filthy greasy bone,
  How he'll mumble and enjoy it when he finds himself alone!
  Not, if Indra's self reproved him, would he blush and leave his treat,
  For the mean abhor no meanness if it only yield them meat."
N010,शिरः शावं स्वर्गात्,334,"  From Heaven to Siva's head, and thence to Himalaya's snows,
  To India's plain, thence to the main, the sacred Ganges flows—
  A sad descent! hut rivers go astray, like foolish men,
  From heaven's crown they tumble down and never rise again."
N011,शक्यो वारयितुं,759,"  Water will serve to put out fire, umbrellas 'gainst the heat,
  A sharp hook guides the elephant, the ox and ass we beat,
  Disease we cure with doctor's stuff, the serpent's bite with charms,—
  Against the fool, the worst of ills, Nature provides no arms."
N012,साहित्यसंगीतकलाविहीनः,796,"  Deem him who verse and music scorns
  A beast without the tail and horns;
  What though he never feed on grass,
  I hold him none the less an ass."
N013,येषां न विद्या,697,"  Those slaves who neither fast nor give,
  Unjust, unthinking, idle live,
  Are beasts, though men by right of birth,
  Unwieldy burdens, cumbering earth."
N014,वरं पर्वतदुर्गेषु,320,"  I'd sooner live in mountain caves with lions, bears, and apes,
  Than dwell in Indra's heavenly halls with brainless human shapes."
N014~H,इति अज्ञनिन्दाप्रकरणम् ॥,,
N014~H,अथ विद्वत्प्रशंसा |,,The Praise of the Wise Man
N015,शास्त्रोपस्कृत,13,"  Kings in whose country tuneful bards are found
  Naked and starving, though for lore renowned,
  Are voted dullards by all men of sense;
  Poets are ever lords, though short of pence,
  And he who spurns the diamond's flawless ray
  Himself degrades, not that he flings away."
N016,हर्तुर्याति न गोचरं,15,"  Those who possess that treasure which no thief can take away,
  Which, though on suppliants freely spent, increaseth day by day,
  A source of inward happiness which shall outlast the earth—
  To them e'en kings should yield the palm, and own their higher worth."
N017,अधिगतपरमार्थान्,16,"  Scorn not those sages who have scaled the topmost heights of truth;
      Who snap the cords of wealth like bonds of straw.
      For lotus-strings will never hold in awe
  Th' infuriate sovereign of the herd, drunk with the pride of youth."
N018,अम्भोजिनीवनविलासनिवासमेव,38,
N019,केयूरा न विभूषयन्ति,76,"  Neither rings, bright chains, nor bracelets, perfumes, flowers, nor well-trimmed hair,
  Grace a man like polished language, th' only jewel he should wear."
N020,विद्या नाम नरस्य,70,"  Knowledge is man's highest beauty, knowledge is his hidden treasure,
  Chief of earthly blessings, bringing calm contentment, fame, and pleasure;
  Friends in foreign lands procuring, love of mighty princes earning;
  Man is but a beast without it: such a glorious god is Learning."
N021,क्षान्तिश् चेत्,237,"  Better silence far than speaking,
  Worse are kinsmen oft than fire,
  There's no balm like friendly counsel,
  There's no enemy like ire,
  Rogues have keener teeth than vipers,
  Brains outweigh the miser's hoard,
  Better modesty than jewels,
  Tuneful lyre than kingly sword."
N022,दाक्षिण्यं स्वजने,71,"  Ever liberal to kinsmen, to the stranger ever kind,
  Ever stern to evil-doers, ever frank to men of mind,
  Ever loving to the virtuous, ever loyal to the crown,
  Ever brave against his foemen, ever honouring the gown,
  Womankind distrusting ever—such the hero I would see,—
  Such uphold the world in order; without them 't would cease to be."
N023,जाड्यं धियो हरति,42,"  What blessings flow from converse with the wise!
  All dulness leaves us, truth we learn to prize;
  Our hearts expand with consciousness of worth,
  Our minds enlarge, our glory fills the earth."
N024,जयन्ति ते सुकृतिनो,55,"  Those bards of passion who unfold
  The secrets of the heart,
  Their glory never groweth old,
  Nor feels Death's fatal dart."
N025,सूनुः सच्-चरितः,807,"  A duteous son, a virtuous wife, a lord to kindness prone,
  A loving friend, a kinsman true, a mind of cheerful tone,
  A handsome shape, a well-filled purse, a soul-illumined face,
  Are theirs on whom great Hari smiles, and sheds peculiar grace."
N026,प्राणाघातान् निवृत्तिः,3,"  Abstinence from sin of bloodshed, and from speech of others' wives,
  Truth and open-handed largess, love for men of holy lives,
  Freedom from desire and avarice,—such the path that leads to bliss,
  Path which every sect may travel, and the simple cannot miss."
N027,प्रारभ्यते न खलु,277,"  Cowards shrink from toil and peril,
  Vulgar souls attempt and fail;
  Men of mettle, nothing daunted,
  Persevere till they prevail."
N028,प्रिया न्याय्या,18,"  Not to swerve from truth or mercy, not for life to stoop to shame;
  From the poor no gifts accepting, nor from men of evil fame;
  Lofty faith and proud submission,—who on Fortune's giddy ledge
  Firm can tread this path of duty, narrow as the sabre's edge?"
N028~H,इति विद्वत्प्रशंसा |,,
N028~H,अथ मानशौर्यप्रशंसा |,,The Praise of Self-respect and Valour
N029,क्षुत्क्षामोऽपि जराकृशोऽपि,17,"  Worn with hunger, faint and feeble, shorn of glory and of power,
  Still the king of beasts is kingly, even to his dying hour;
  Will he graze on hay like oxen ? No, he longs to meet once more
  Tusk-armed elephants in battle, and to drink their spouting gore."
N030,स्वल्पं स्नायुवसावशेषमलिनं,350,"  Fling a dry and gristly cow's-bone to a low-bred cur to gnaw,
  Straight he wags his tail delighted, though it cannot fill his maw.
  Lions spare the prostrate jackal, but the forest monarchs smite,
  E'en by fortune pressed the valiant scorns to waive his proper right."
N031,लाङ्गूलचालनमधश् चरणावपातं,57,"  Dogs fawn on those who bring them meat,
  And grovel whimpering at their feet
  With upturned throat, and wag their tails in gamesome mood;
  But the huge elephant erect
  Bates not one jot of self-respect,
  And after thousand coaxings deigns to taste his food."
N032,परिवर्तिनि संसारे,74,"  In this revolving world the dead
    Are ever born again,
  But he is truly born whose race
    By him doth praise attain."
