Manual order,Kosambi,Mādhavānanda,Gopinath1896-img,Gopinath1914-img,Gopinath-num,SB spardha num,SB spardha text (some hyphens and spaces added),GRETIL,Ryder,Tawney n,Tawney
,,https://archive.org/details/VairagyasatakamOfBhartrhari http://www.vivekananda.net/PDFBooks/VairagyaShatakam.pdf,,,,,,,,,
1,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-070.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-064.jpg,1,1,"dikkālādyanavacchinnānantacinmātramūrtaye |
svānubhūtyekamānāya namaḥ śāntāya tejase ||1||","
                dik-kālādyanavacchinnānanta-cin-mātra-mūrtaye |
                svānubhūty-eka-mānāya namaḥ śāntāya tejase || BharSt_1.1 ||
            ",,1,"  Eternal, Holy Spirit, free from bonds of space and time,
  Whose essence is self-knowledge, Thee I call to bless my rhyme."
,,,,,,,,,,2,On Fools
2,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-071.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-065.jpg,2,,,"
                yāṃ cintayāmi satataṃ mayi sā viraktā
                sāpyanyam icchati janaṃ sa jano 'nyasaktaḥ ।
                asmatkṛte ca pariśuṣyati kācid anyā
                dhik tāṃ ca taṃ ca madanaṃ ca imāṃ ca māṃ ca ।।
            ","
                The maid my true heart loves would not my true love be;
                She seeks another man; another maid loves he;
                And me another maid her own true love would see:
                Oh, fie on her and him and Love and HER and me!
            ",3,"  She whom I worship night and day, she loathes my very sight,
  And on my neighbour dotes, who in another takes delight;
  A third she in my humble self nothing but good can see:
  Now out upon the god of love, and him, and them, and me!"
3,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-072.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-066.jpg,3,,,"
                ajñaḥ sukham ārādhyaḥ
                sukhataram ārādhyate viśeṣajñaḥ |
                jñāna-lava-durvidagdhaṃ
                brahmāpi taṃ naraṃ na rañjayati || BharSt_1.3 ||
            ","
                A LITTLE KNOWLEDGE

                A fool's opinion easily is bent;
                  More easy 'tis to win the wise and great;
                But God himself could never make content
                  The man who feels himself elate
                  With one small grain of knowledge in his pate.
            ",4,"  Easy is a fool to manage, easier still a man of sense,
  Brahma's self is foiled by one of little brains and great pretence.
"
4,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-073.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-067.jpg,4,,,"
                prasahya maṇim uddharen makara-vaktra-daṃṣṭrāntarāt
                samudram api santaret pracalad ūrmi-mālākulam |
                bhujaṅgam api kopitaṃ śirasi puṣpavad dhārayet
                na tu pratiniviṣṭa-mūṛkha-jana-cittam ārādhayet || BharSt_1.4 ||
            ","
                THE STUBBORN FOOL-I

                A diamond you may draw
                From an alligator's jaw;
              You may cross the raging ocean like a pool;
                A cobra you may wear
                Like a blossom in your hair;
              But you never can convince a stubborn fool.
            ",5,"  Snatch a jewel, if it please you, from the tiger's ravening throat;
  Cross the ocean, though its billows toss in foamwreaths round your boat;
  Fearless twine an angry cobra like a garland round your head;
  But with fools forbear to argue,—better strive to wake the dead."
5,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-074.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-068.jpg,5,,,"
                labheta sikatāsu tailam api yatnataḥ pīḍayan
                pibec ca mṛga-tṛṣṇikāsu salilaṃ pipāsārditaḥ |
                kvacid api paryaṭan śaśa-viṣāṇam āsādayet
                na tu pratiniviṣṭa-mūrkha-cittam ārādhayet || BharSt_1.5 ||
            ","
                THE STUBBORN FOOL-II

                With sufficient toil and travail
                You may gather oil from gravel;
              The mirage perhaps your thirsty lips may cool;
                If you seek it night and morn,
                You may find a rabbit's horn;
              But you never can convince a stubborn fool.
            ",6,"  If you squeeze with might and main,
  Oil from sand you may obtain;
  If with parching thirst you burn,
  Some mirage may serve your turn;
  If you wander far and wide,
  Rabbits' horns may grace your side;
  But you'll never—trust my rule—
  Please a headstrong, bumptious fool."
6,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-075.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-069.jpg,6,,,"
                vyālaṃ bāla-mṛṇāla-tantubhir asau roddhuṃ samujjṛmbhate
                chettuṃ vajra-maṇiṃ śirīṣa-kusuma-prāntena sannahyati |
                mādhuryaṃ madhu-bindunā racayituṃ kṣārāmudher īhate
                netuṃ vāñchanti yaḥ khalān pathi satāṃ sūktaiḥ sudhā-syandibhiḥ || BharSt_1.6 ||
            ","
                PREACHING

                He longs, with twigs from lotus-bowers
                  To bind an elephant,
                He strives, with softest siris-flowers
                  To sever adamant,
                He yearns, with honey-drops alone
                  To sweeten ocean's taint,
                Who hopes, with sugar-coated tone
                  To make a rogue a saint.              
            ",7,"  As well attempt to pierce with flowers the diamond of the mine,
  As well attempt with honey-drops to sweeten ocean's brine,
  As well go bind with lotus-bands the lord of forest herds,
  As strive to lead in wisdom's ways the bad with sugared words."
7,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-076.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-070.jpg,7,,,"
                svāyattam ekānta-guṇaṃ vidhātrā
                vinirmitaṃ chādanam ajñatāyāḥ |
                viśeṣataḥ sarva-vidāṃ samāje
                vibhūṣaṇaṃ maunam apaṇḍitānām || BharSt_1.7 ||
            ","
                THE FORTUNATE FOOL

                God to the fool a way has shown,
                A way unfailing, all his own,
                  To hide his lack of sense;
                For each, however great a fool,
                Among the wise may wear the jewel
                  Called Silence.              
            ",8,"  When the Creator made the dolt,
  He left him not without his bolt;
  That fool shows best the wise among
  Who strokes his beard and holds his tongue.
"
8,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-077.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-071.jpg,8,,,"
                yadā kiñcij-jño 'haṃ dvipa iva madāndhaḥ samabhavaṃ
                tadā sarvajño 'smīty abhavad avaliptaṃ mama manaḥ
                yadā kiñcit kiñcid budhajana-sakāśād avagataṃ
                tadā mūrkho 'smīti jvara iva mado me vyapagataḥ || BharSt_1.8 ||
            ","
                WHEN I KNEW A LITILE BIT

                When I knew a little bit,
                Then my silly, blinded wit,
                Mad as elephants in rut,
                Thought it was omniscient; but
                When I learned a little more
                From the scholar's hoarded store,
                Madness' fever soon grew cool,
                And I knew I was a fool.
            ",9,"  When but a little I had learned, in my own partial eyes
  I seemed a perfect Solon and immeasurably wise;
  But when a little higher I had climbed in wisdom's school,
  The fever-fit was over and I knew myself a fool."
